rank,alpha,beta,kappa,pos_rmse,pos_final_error,heading_rmse,heading_final_error
1,1.000000,1.5,-1,1.571684,1.978890,0.341188,0.425602
2,1.000000,2.0,-1,1.573172,1.954875,0.341936,0.422318
3,1.000000,1.0,-1,1.576090,2.005205,0.334015,0.429373
4,1.000000,1.5,1,1.633272,1.820735,0.371666,0.401842
5,0.500000,1.5,0,1.702710,2.149016,0.332873,0.452839
6,0.500000,2.0,0,1.707936,2.135821,0.333665,0.450661
7,0.005000,1.5,0,1.806980,2.238252,0.358673,0.453266
8,0.005000,1.0,0,1.817396,2.238633,0.360306,0.430904
9,0.500000,1.0,-1,1.819155,2.353200,0.344554,0.479649
10,0.500000,1.5,-1,1.819233,2.328572,0.344992,0.476025
