method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-72.20975494384766,12743.771484375,-222.25537109375,12745.709438707185,1,1,26.01982593536377,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-79.48567962646484,-20711426048.0,15239710720.0,25714041918.20212,1,1,9.145777225494385,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.12767028808594,-32548384145408.0,1870068711424.0,32602062319161.56,1,1,9.76246190071106,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-79.52520751953125,6287485952.0,-2538889216.0,6780740228.59735,1,1,11.390429973602295,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-72.9403305053711,-430605434880.0,137508880384.0,452028464515.9585,1,1,9.372803926467896,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-86.47343444824219,4123002711048192.0,156673159200768.0,4125978409313928.0,1,1,9.902603149414062,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-150.45770263671875,2194.1396484375,-334.76171875,2219.530176678364,1,1,11.4514000415802,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-2278.2978515625,nan,nan,nan,1,0,10.6192147731781,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-84.1592788696289,-82968000.0,3821070336.0,3821970983.888176,1,1,9.877177000045776,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.37029266357422,6819046912.0,-3832095232.0,7822042869.683972,1,1,9.734068155288696,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,79490,-80.7553482055664,415905.03125,-61218.75,420386.4060250117,1,1,11.136008024215698,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,87409,-78.20857238769531,180324805902336.0,-3713301217280.0,180363034543238.4,1,1,11.218071937561035,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,95328,-84.3382568359375,1.5651430983532544e+16,1007165535944704.0,1.568380292687578e+16,1,1,10.561923265457153,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,103247,-74.4751205444336,-68951711744.0,19264389120.0,71592284784.00757,1,1,9.667617082595825,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,111166,-146.86317443847656,3.983941078186035,14.762199401855469,15.290334126323076,1,1,10.96625804901123,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,119085,-2287.636962890625,nan,nan,nan,1,0,10.776293992996216,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,127004,-81.38131713867188,27398971392.0,-15159369728.0,31313098279.950474,1,1,9.050617933273315,
generic_pfpf,Generic DifferentiablePFPFLEDHLogLikelihood,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,134923,-76.3741226196289,8085777920.0,-696331264.0,8115705871.998034,1,1,11.622535943984985,
