variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-73.96964263916016,31126978560000.0,106759045775360.0,111204238449530.83,1,1,3.3275208473205566,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.4964370727539,2925293993984.0,-209049878528.0,2932754132714.066,1,1,1.5970423221588135,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.08453369140625,617297408.0,-1121645824.0,1280291156.1126077,1,1,1.5288398265838623,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-79.20089721679688,1.3793809309630464e+16,3716373997944832.0,1.4285678526519086e+16,1,1,1.8148479461669922,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-79.03751373291016,710234079232.0,119433101312.0,720206021213.048,1,1,2.020565986633301,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-85.25128173828125,-2.422609804053709e+16,3890238300618752.0,2.4536458185836764e+16,1,1,2.246650218963623,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-9000055.0,nan,nan,nan,1,0,1.6291399002075195,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-70.29081726074219,-3202538536960.0,739992403968.0,3286919810193.768,1,1,1.6219027042388916,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-150.88812255859375,111.2052230834961,-2.531787633895874,111.23403970760606,1,1,1.6489739418029785,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-145.8068084716797,65.37594604492188,-20.236297607421875,68.43626277146265,1,1,1.6158080101013184,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,79490,-79.3095474243164,-48142313586688.0,63187856654336.0,79437948022641.66,1,1,1.5557219982147217,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,87409,-80.42959594726562,111962180550656.0,-31337138356224.0,116264982320623.17,1,1,1.6641321182250977,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,95328,-81.13778686523438,3252197376.0,-1257747200.0,3486935013.9584084,1,1,1.758526086807251,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,103247,-145.88339233398438,-309.61639404296875,18.02846908569336,310.14083439261054,1,1,1.8531978130340576,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,111166,-82.21577453613281,-154455848779776.0,46598335758336.0,161331999670640.8,1,1,2.340714931488037,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,119085,-79.78417205810547,20521640.0,-34310096.0,39978999.434938535,1,1,1.7606759071350098,
