variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,n,finite_loglik_rate,finite_grad_rate,loglik_mean,loglik_std,loglik_cv,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_log10_median,grad_log10_mad,grad_log_sigma_v2_mean,grad_log_sigma_v2_std,grad_log_sigma_v2_snr,grad_log_sigma_w2_mean,grad_log_sigma_w2_std,grad_log_sigma_w2_snr,grad_vector_snr,grad_cosine_to_mean,grad_cosine_to_mean_std,elapsed_mean_s,n_errors,first_error
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.9,-1280089.6353227233,4823565.238148235,3.7681464680652352,3630412533125746.0,1.2825331995905678e+16,3.53274782931162,12.702249181445332,1.550896783342525,173822464652703.0,1.261639977323169e+16,0.013777501329777408,878083655028337.6,4239761848042757.0,0.2071068344165831,0.0672532387614652,0.007225438119652918,0.467416608981516,1.761653642654419,0,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.96,-480097.7846705627,2873088.363209128,5.984381630047734,4440337831291.927,13984745840142.027,3.1494778936838537,8.61323266273675,2.789560412309883,-407364521802.4826,14430813755491.875,0.028228797675907472,54140336710.64437,2699696759740.9917,0.020054228874149028,0.027991400465675692,-0.04977869393535217,0.8832965293820426,1.7023301649093627,0,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.88,-1020084.4714164734,3878185.4370787824,3.801827736573222,5.0458706639938185e+20,3.285181823866156e+21,6.5106342247502775,14.455537968807857,1.825167945134349,4.797322986456304e+20,3.2086367729875964e+21,0.14951280951596976,1.0829619051285437e+20,7.142148470168591e+20,0.1516297105348442,0.1496134176089249,0.353512442221609,0.8147367938300852,1.6210611438751221,0,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.9,-1280089.6353227233,4823565.238148235,3.7681464680652352,8215707.991055993,41296362.5367946,5.026512941033417,5.502409672635475,0.8839963780548414,-3955368.0340145533,20427135.252126873,0.19363302710803368,4951919.808250979,36277738.136939764,0.13650023575225856,0.15222625245069743,-0.1152523020623344,0.7062325954012176,1.5802527713775634,0,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.96,-480097.7846705627,2873088.363209128,5.984381630047734,287839.95130584284,1163129.1096511267,4.040888363044677,4.178129211293681,0.8517948764420116,105912.36890967686,1149605.0750695062,0.09212935051045534,56369.52935030063,318105.18759710406,0.17720405560218475,0.1005856073778016,0.1716762693598165,0.7447926856597211,1.5886167335510253,0,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.88,-1020084.4714164734,3878185.4370787824,3.801827736573222,13212046109.548372,87534765735.56207,6.625375434642218,6.156765944227901,0.6086916691882513,9460193929.384611,62761354423.67788,0.15073278797526363,-9194183317.189363,61023682391.12384,0.1506658227909022,0.1507002489597119,0.03644005354279758,0.6952626242078739,1.5891035032272338,0,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.04,-93.78542846679687,8.416036943036909,0.08973714873005526,61.83795364558328,60.11991765321845,0.9722171273290907,1.6523239075437477,0.36616502946303964,61.553382873535156,60.45555818955181,1.0181592018477645,3.800248384475708,0.9345281411782389,4.066488976655548,1.0199759653927123,0.9924360282986147,0.007065668936312164,1.5428286600112915,0,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,50,1.0,0.1,-92.49795394897461,9.782950161444894,0.1057639628098319,277.01859508150517,387.5828412054238,1.3991221098041744,2.0935241627832823,0.11655320521628454,-43.211943817138675,314.0972914731922,0.13757502847116007,169.47756958007812,330.52999782652824,0.5127448966644924,0.3835786346962089,0.21254980370598875,0.44676493858975086,1.542717399597168,0,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,50,1.0,0.04,-93.27197479248046,7.490682249632897,0.08031010672068231,182.50386244217657,211.578467935311,1.1593095351740639,2.0192094459596226,0.5020756867675945,143.2656707763672,249.07467363208053,0.5751916430812688,-44.72825491428375,65.50752811847379,0.6827956450041951,0.5827546141003533,0.015910498377339488,0.9837792901762794,1.5517013597488403,0,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,50,1.0,0.9,-1280089.6353227233,4823565.238148235,3.7681464680652352,5.436243917559958e+16,3.590523215116297e+17,6.604786815246311,11.950056792973056,2.572525630176308,-4.856801544712027e+16,3.291210610357928e+17,0.14756884683790678,2.1253099646452692e+16,1.440344211360496e+17,0.14755569869217441,0.14756673350932223,0.009930022414061735,0.8646522374536949,1.4998771286010741,0,
