variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,n,finite_loglik_rate,finite_grad_rate,loglik_mean,loglik_std,loglik_cv,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_log10_median,grad_log10_mad,grad_log_sigma_v2_mean,grad_log_sigma_v2_std,grad_log_sigma_v2_snr,grad_log_sigma_w2_mean,grad_log_sigma_w2_std,grad_log_sigma_w2_snr,grad_vector_snr,grad_cosine_to_mean,grad_cosine_to_mean_std,elapsed_mean_s,n_errors,first_error
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.9,-2000074.4184883118,6324538.307815393,3.1621514926407492,4995777532273.688,14832230455758.67,2.9689533530946073,10.641581746100846,1.6506076882819407,4822782050137.944,14378970759641.367,0.3354052338484783,-1225286877581.5972,3669080745518.6606,0.33394928118661255,0.33531641095458836,0.19363088745497448,0.828196943756808,1.2392339944839477,0,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.8,-1900073.4442588806,4012471.296111425,2.1117453687041454,1615571665.5457098,4515991986.830855,2.7952904121436406,7.306953528326796,0.2864243424229467,1594899147.1464844,4485852590.107319,0.3555398032168347,-200487904.96557617,548837224.099437,0.3652957491987684,0.3556856317763911,0.5611150738939623,0.725691198971952,1.0404890298843383,0,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,1.0,-89.76151580810547,22.652575307032194,0.25236400146650223,206574543044.6352,653036946351.2363,3.1612653559646633,5.918271148603823,0.9158810341799968,-195621734785.97906,618500930348.3752,0.3162836548617537,66264254452.871704,209594037519.56244,0.3161552458126913,0.3162704302544766,0.32787448701896976,0.8482026709985133,1.061725091934204,0,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.9,-2000074.4184883118,6324538.307815393,3.1621514926407492,3686833.3395275814,11005228.076945404,2.985008288537278,4.24144386952152,0.5386221755141909,3540406.746103075,10634986.793519769,0.332901846973647,-948564.0588005914,2861887.156352105,0.3314470511862094,0.3328038113188917,-0.2389439435317579,0.6647701113969359,1.0203723192214966,0,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.8,-1900073.4442588806,4012471.296111425,2.1117453687041454,10387.079080888463,25158.21260212501,2.4220680719004495,2.817636345066778,0.5620894466460322,-6273.656743049622,21557.687578762907,0.2910171473692744,5067.055538415909,14737.091696610925,0.3438300882379102,0.3088191827130792,-0.28323388285364987,0.7839144432935584,0.9771071672439575,0,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,1.0,-89.76151580810547,22.652575307032194,0.25236400146650223,32031.669805626843,71516.18925133497,2.232671280807599,3.1965131717170587,1.0216286944837665,17841.553115463255,69545.435478369,0.2565452785325154,-10440.951214790344,30711.766600229475,0.33996582973225414,0.2719119574122577,0.17890059926940477,0.79364565372972,0.9842700481414794,0,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.2,-103.54035568237305,11.15736164469199,0.10775857945590818,179097510.65362805,251144596.8547628,1.4022785461293918,7.365840328205842,1.1864427621524887,-143150651.9375,204314855.84125033,0.7006375104154245,105103973.125,149676238.00383025,0.7022088110092022,0.7011866737826998,0.004021927486281163,0.9959779286501839,0.95395929813385,0,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,10,1.0,0.4,-98.28676300048828,12.80800471535057,0.13031261102053937,1099.5469744799832,1947.5276956972205,1.771209180597563,2.098385091186261,0.6776967078276218,-985.2140426635742,1876.1562669663901,0.5251236584128435,390.13773614168167,622.7099128140637,0.6265160199210988,0.5360427218191818,0.0508878626375969,0.892669221355551,0.9552560329437256,0,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,10,1.0,0.0,-94.94705047607422,8.628176416963942,0.09087355924909077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9735869884490966,0,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,10,1.0,0.9,-2000074.4184883118,6324538.307815393,3.1621514926407492,15351142737769.543,45948882931005.53,2.9931897394162146,10.177422788368919,1.2345452868144449,-14780748971921.111,44405664621036.8,0.3328572851698488,3955355095780.618,11881573026257.965,0.332898269197133,0.33286002346848126,0.0012630667750376861,0.8898256523969462,0.9683061122894288,0,
