N,n_lambda,T,K,sinkhorn_fwd_s,sinkhorn_fwd_grad_s,ll_fwd_s,ll_fwd_grad_s,sinkhorn_fwd_total_s,sinkhorn_fwd_grad_total_s,ledh_flow_fwd_s,ledh_flow_fwd_grad_s,pct_sinkhorn_of_fwd_grad,pct_ledh_flow_of_fwd_grad,ll_reps
32,20,20,10,0.00028025050000035634,0.0014819584999994362,0.014354374999996367,0.24517991700000152,0.005605010000007127,0.029639169999988724,0.00874936499998924,0.2155407470000128,12.088742978075377,87.91125702192463,5
64,20,20,10,0.00045893699999766113,0.0016805209999972703,0.018348333000005823,0.25684858399999655,0.009178739999953223,0.03361041999994541,0.0091695930000526,0.22323816400005114,13.08569409903613,86.91430590096387,5
128,20,20,10,0.0012593544999930373,0.0025566874999967126,0.033487334000000146,0.28208758300000625,0.025187089999860746,0.05113374999993425,0.0083002440001394,0.230953833000072,18.1269056426114,81.8730943573886,5
256,20,20,10,0.002337145500000304,0.004762082999995698,0.05738175000001888,0.3897688330000051,0.04674291000000608,0.09524165999991396,0.010638840000012806,0.2945271730000911,24.435422213430986,75.56457778656902,3
512,20,20,10,0.006033395999992308,0.012754520500010358,0.14631529199999704,0.6004549170000075,0.12066791999984616,0.25509041000020716,0.02564737200015088,0.34536450699980037,42.482858042813554,57.517141957186446,3
32,10,20,10,0.0002771454999930256,0.001628625000009265,0.014154791999999361,0.14807120800000462,0.0055429099998605125,0.0325725000001853,0.008611882000138849,0.11549870799981932,21.99786200176356,78.00213799823644,5
64,10,20,10,0.0004481665000071189,0.0017178334999954359,0.01666295800001194,0.15192479199998843,0.008963330000142378,0.03435666999990872,0.007699627999869563,0.11756812200007971,22.614261666990686,77.38573833300931,5
128,10,20,10,0.0011732079999973166,0.00222575000000802,0.03193425000000616,0.1637869169999817,0.023464159999946332,0.0445150000001604,0.008470090000059827,0.11927191699982131,27.178605480537477,72.82139451946253,5
256,10,20,10,0.002221437999992304,0.005034041499996533,0.055392666999978246,0.25058574999999905,0.04442875999984608,0.10068082999993067,0.010963907000132167,0.1499049200000684,40.17819449028169,59.82180550971831,3
512,10,20,10,0.006705520500020157,0.013452313000001936,0.13177445799999532,0.39970274999996036,0.13411041000040314,0.26904626000003873,0.0,0.13065648999992163,67.31158592230487,32.688414077695136,3
