t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
0,1.0355464220046997,-1.8841686248779297,1.0101380348205566,-3.1473817825317383,0.5476713180541992,0.18634459376335144,-1.2386049032211304,-0.4214340150356293,0.5476713180541992,0.18634459376335144,-1.2386049032211304,-0.4214340150356293
1,-0.9883965253829956,-2.163717269897461,-2.2709240913391113,-3.4147424697875977,1.4359872341156006,0.4580895006656647,-2.8642377853393555,-0.8875996470451355,1.4359872341156006,0.4580895006656647,-2.8642377853393555,-0.8875996470451355
2,-3.1498022079467773,-2.1590940952301025,-5.851182460784912,-3.7457737922668457,-0.47465312480926514,-0.34319809079170227,-4.06594181060791,-0.9938539862632751,-0.47465312480926514,-0.34319809079170227,-4.06594181060791,-0.9938539862632751
3,-5.359048843383789,-2.259399652481079,-9.915352821350098,-4.382566928863525,-0.25535279512405396,-0.17935727536678314,-11.210143089294434,-2.7852866649627686,-0.25535279512405396,-0.17935727536678314,-11.210143089294434,-2.7852866649627686
4,-8.015534400939941,-3.053572654724121,-14.096280097961426,-3.9792866706848145,-7.359336853027344,-1.9681352376937866,-11.064544677734375,-2.028176784515381,-7.359336853027344,-1.9681352376937866,-11.064544677734375,-2.028176784515381
5,-10.819459915161133,-2.5542776584625244,-17.992725372314453,-3.81360125541687,-10.466678619384766,-2.238726854324341,-14.470182418823242,-2.3553597927093506,-10.466678619384766,-2.238726854324341,-14.470182418823242,-2.3553597927093506
6,-13.218199729919434,-2.2432029247283936,-21.708646774291992,-3.6182422637939453,-10.92679500579834,-1.8372694253921509,-18.29288101196289,-2.686558723449707,-10.92679500579834,-1.8372694253921509,-18.29288101196289,-2.686558723449707
7,-15.265217781066895,-1.850832223892212,-25.472131729125977,-3.9087283611297607,-11.261033058166504,-1.5064969062805176,-23.987812042236328,-3.3486123085021973,-11.261033058166504,-1.5064969062805176,-23.987812042236328,-3.3486123085021973
8,-17.127885818481445,-1.8745037317276,-29.12235450744629,-3.3917179107666016,-13.702366828918457,-1.710543155670166,-25.475095748901367,-2.9423413276672363,-13.702366828918457,-1.7105430364608765,-25.475095748901367,-2.9423413276672363
9,-18.94635009765625,-1.7624226808547974,-32.45888137817383,-3.2813334465026855,-17.342615127563477,-2.132204055786133,-30.8726749420166,-3.478837013244629,-17.342613220214844,-2.132204055786133,-30.8726749420166,-3.478837013244629
10,-20.8234920501709,-1.99186110496521,-36.127803802490234,-4.056507587432861,-19.692523956298828,-2.1800010204315186,-33.86835479736328,-3.372760534286499,-19.692523956298828,-2.1800010204315186,-33.86835479736328,-3.372760534286499
11,-23.071598052978516,-2.504349708557129,-40.30289077758789,-4.293668270111084,-21.960350036621094,-2.199380397796631,-39.239234924316406,-3.8136603832244873,-21.960350036621094,-2.199380397796631,-39.239234924316406,-3.8136603832244873
12,-25.39238739013672,-2.1372299194335938,-44.34769058227539,-3.7959365844726562,-26.205591201782227,-2.65256404876709,-43.279293060302734,-3.8638103008270264,-26.205591201782227,-2.65256404876709,-43.279293060302734,-3.8638103008270264
13,-27.47856330871582,-2.0351221561431885,-48.210166931152344,-3.9290153980255127,-25.575620651245117,-1.9236973524093628,-45.51531982421875,-3.5023703575134277,-25.575620651245117,-1.9236974716186523,-45.51531982421875,-3.5023703575134277
14,-29.351415634155273,-1.7105820178985596,-52.23079299926758,-4.112237930297852,-30.436649322509766,-2.5766851902008057,-49.682273864746094,-3.650111675262451,-30.436649322509766,-2.5766851902008057,-49.682273864746094,-3.650111436843872
15,-30.923294067382812,-1.4331743717193604,-56.11772537231445,-3.661621332168579,-29.27332305908203,-1.7449374198913574,-54.906375885009766,-4.0001540184021,-29.27332305908203,-1.7449376583099365,-54.906375885009766,-4.000153541564941
16,-32.083736419677734,-0.8877145648002625,-59.86372756958008,-3.830385208129883,-31.744220733642578,-1.9063782691955566,-59.7318115234375,-4.183682918548584,-31.744220733642578,-1.9063785076141357,-59.7318115234375,-4.183682441711426
17,-33.050540924072266,-1.045892357826233,-63.69926071166992,-3.8406805992126465,-36.41997146606445,-2.52211332321167,-62.79429626464844,-3.934398651123047,-36.41997146606445,-2.522113561630249,-62.79429626464844,-3.9343981742858887
18,-33.87603759765625,-0.6051007509231567,-67.28532409667969,-3.3314430713653564,-35.41765213012695,-1.7386689186096191,-64.85687255859375,-3.5183112621307373,-35.41765213012695,-1.7386691570281982,-64.85686492919922,-3.5183115005493164
19,-34.4194450378418,-0.48171287775039673,-71.06076049804688,-4.21942663192749,-35.51007080078125,-1.3727854490280151,-69.39887237548828,-3.7458293437957764,-35.51007080078125,-1.3727856874465942,-69.39887237548828,-3.7458300590515137
20,-35.03923797607422,-0.7578749656677246,-75.28141021728516,-4.221868991851807,-36.02134704589844,-1.181333065032959,-73.7947769165039,-3.890296459197998,-36.02134704589844,-1.1813329458236694,-73.7947769165039,-3.8902971744537354
21,-35.7193717956543,-0.6023948192596436,-79.73735046386719,-4.690012454986572,-35.3891716003418,-0.778339147567749,-79.72440338134766,-4.343471527099609,-35.3891716003418,-0.7783390283584595,-79.72440338134766,-4.343472480773926
22,-36.401920318603516,-0.7627062201499939,-84.19795989990234,-4.231204032897949,-34.755531311035156,-0.4645768702030182,-82.62062072753906,-4.0218706130981445,-34.755531311035156,-0.464576780796051,-82.62062072753906,-4.021871089935303
23,-36.955074310302734,-0.34359851479530334,-87.89335632324219,-3.1595890522003174,-39.920108795166016,-1.508987545967102,-90.32473754882812,-4.840120792388916,-39.920108795166016,-1.5089874267578125,-90.32473754882812,-4.840121269226074
24,-36.92343521118164,0.4068743884563446,-90.7658920288086,-2.5854761600494385,-41.68589401245117,-1.5660524368286133,-93.81187438964844,-4.539464473724365,-41.68589401245117,-1.5660523176193237,-93.81187438964844,-4.539465427398682
25,-36.798851013183594,-0.15771153569221497,-93.6976318359375,-3.277994155883789,-37.21263122558594,-0.22400081157684326,-97.44295501708984,-4.33760404586792,-37.21263122558594,-0.2240009307861328,-97.44295501708984,-4.337604999542236
26,-37.34041213989258,-0.9254150390625,-97.19487762451172,-3.716498613357544,-38.052459716796875,-0.36085081100463867,-102.05315399169922,-4.3981804847717285,-38.052459716796875,-0.36085090041160583,-102.05315399169922,-4.398180961608887
27,-38.27790451049805,-0.9495733976364136,-100.90644073486328,-3.706632375717163,-34.96169662475586,0.4061734676361084,-108.59933471679688,-4.875513076782227,-34.96169662475586,0.40617337822914124,-108.59933471679688,-4.875513553619385
28,-39.050697326660156,-0.5960109233856201,-104.59596252441406,-3.6724040508270264,-33.68740463256836,0.5990889668464661,-108.90335845947266,-3.859626054763794,-33.68740463256836,0.5990888476371765,-108.90335845947266,-3.859626531600952
29,-39.77722930908203,-0.8570485711097717,-107.78258514404297,-2.700849771499634,-35.7421989440918,0.009335935115814209,-113.16387939453125,-3.948714256286621,-35.7421989440918,0.009335815906524658,-113.16387939453125,-3.9487147331237793
30,-40.43589401245117,-0.4602843225002289,-110.17422485351562,-2.0824203491210938,-39.896827697753906,-0.9159901142120361,-111.87666320800781,-2.785172939300537,-39.896827697753906,-0.9159902334213257,-111.87666320800781,-2.7851734161376953
31,-40.662132263183594,0.0078096091747283936,-112.09722137451172,-1.763578176498413,-41.12203598022461,-0.9847057461738586,-111.52127838134766,-2.0872700214385986,-41.12203598022461,-0.9847058653831482,-111.52127838134766,-2.087270498275757
32,-40.52839279174805,0.2596745193004608,-113.81658172607422,-1.6751457452774048,-41.82017135620117,-0.9210227727890015,-111.17052459716797,-1.5454858541488647,-41.82017135620117,-0.921022891998291,-111.17052459716797,-1.545486330986023
33,-40.44305419921875,-0.08899328112602234,-115.46183776855469,-1.6153639554977417,-43.13048553466797,-1.0075312852859497,-113.00640106201172,-1.6100177764892578,-43.13048553466797,-1.0075314044952393,-113.00640106201172,-1.610018253326416
34,-40.34818649291992,0.27873024344444275,-117.15601348876953,-1.7729886770248413,-44.2052001953125,-1.0224614143371582,-114.11648559570312,-1.4989227056503296,-44.2052001953125,-1.0224615335464478,-114.11648559570312,-1.4989231824874878
35,-40.22096252441406,-0.02427750825881958,-118.73212432861328,-1.3792364597320557,-42.02228546142578,-0.310155987739563,-116.66864013671875,-1.7329742908477783,-42.02228546142578,-0.31015604734420776,-116.66864013671875,-1.7329747676849365
36,-40.312808990478516,-0.15941967070102692,-120.21321105957031,-1.582948088645935,-42.2977409362793,-0.3024444878101349,-119.8655014038086,-2.0582826137542725,-42.2977409362793,-0.30244454741477966,-119.8655014038086,-2.0582830905914307
37,-40.517608642578125,-0.25018131732940674,-121.94036102294922,-1.8713598251342773,-43.4527702331543,-0.49190741777420044,-122.70649719238281,-2.2322187423706055,-43.4527702331543,-0.4919074773788452,-122.70649719238281,-2.2322192192077637
38,-40.63960266113281,0.006198078393936157,-124.11844635009766,-2.4848060607910156,-41.885623931884766,-0.03433963656425476,-124.60618591308594,-2.1583240032196045,-41.885623931884766,-0.03433966636657715,-124.60618591308594,-2.1583244800567627
39,-40.46453094482422,0.34394288063049316,-126.40389251708984,-2.0860724449157715,-41.15864944458008,0.13484157621860504,-127.18292999267578,-2.2513067722320557,-41.15864944458008,0.13484154641628265,-127.18292999267578,-2.251307249069214
40,-40.071834564208984,0.4414435923099518,-128.22628784179688,-1.5587365627288818,-42.46064758300781,-0.1844562143087387,-129.2241973876953,-2.2046332359313965,-42.46064758300781,-0.1844562441110611,-129.2241973876953,-2.2046337127685547
41,-39.743431091308594,0.2153649926185608,-129.92030334472656,-1.8293068408966064,-41.44535827636719,0.08215419948101044,-130.08438110351562,-1.905864953994751,-41.44535827636719,0.08215416967868805,-130.08438110351562,-1.9058654308319092
42,-39.307701110839844,0.6560941338539124,-131.5444793701172,-1.419071078300476,-39.377567291259766,0.5234072208404541,-129.5770263671875,-1.3695924282073975,-39.377567291259766,0.5234072208404541,-129.5770263671875,-1.3695929050445557
43,-38.6922607421875,0.5747843384742737,-132.54063415527344,-0.573239266872406,-35.61077117919922,1.2441604137420654,-130.68203735351562,-1.3107936382293701,-35.61077117919922,1.2441604137420654,-130.68203735351562,-1.3107941150665283
44,-37.94776916503906,0.9142033457756042,-133.27072143554688,-0.8869410753250122,-38.40827178955078,0.34601378440856934,-131.55941772460938,-1.2144789695739746,-38.40827178955078,0.34601378440856934,-131.55941772460938,-1.2144794464111328
45,-36.3544807434082,2.2723727226257324,-134.39370727539062,-1.359007716178894,-34.14644241333008,1.2161955833435059,-135.71475219726562,-1.868004322052002,-34.14644241333008,1.2161955833435059,-135.71475219726562,-1.8680047988891602
46,-33.76662063598633,2.903346061706543,-135.6273956298828,-1.1083745956420898,-31.638185501098633,1.5033204555511475,-133.58912658691406,-0.9805305600166321,-31.638185501098633,1.5033204555511475,-133.58912658691406,-0.9805310368537903
