time_step,ess,entropy,weight_variance,max_weight
0,999.999695,1.000000,0.000000,0.001000
1,591.313293,0.945348,0.000001,0.003045
2,512.948853,0.930734,0.000001,0.003745
3,999.999695,1.000000,0.000000,0.001000
4,621.792664,0.952747,0.000001,0.002962
5,999.999695,1.000000,0.000000,0.001000
6,664.600037,0.960120,0.000001,0.002671
7,519.848328,0.932907,0.000001,0.003816
8,999.999695,1.000000,0.000000,0.001000
9,607.923462,0.950062,0.000001,0.002993
10,558.560181,0.940543,0.000001,0.003325
11,999.999695,1.000000,0.000000,0.001000
12,643.090698,0.957233,0.000001,0.002944
13,603.970215,0.949481,0.000001,0.003049
14,550.867676,0.938973,0.000001,0.003576
15,999.999695,1.000000,0.000000,0.001000
16,695.247314,0.965459,0.000000,0.002507
17,571.875610,0.944163,0.000001,0.003352
18,504.504669,0.928856,0.000001,0.004002
19,999.999695,1.000000,0.000000,0.001000
20,680.059692,0.962705,0.000000,0.002572
21,550.638489,0.939007,0.000001,0.003657
22,570.979126,0.943377,0.000001,0.003326
23,999.999695,1.000000,0.000000,0.001000
24,702.721985,0.966969,0.000000,0.002505
25,597.845825,0.949059,0.000001,0.003118
26,574.608398,0.944679,0.000001,0.003269
27,999.999695,1.000000,0.000000,0.001000
28,704.481873,0.966800,0.000000,0.002530
29,999.999695,1.000000,0.000000,0.001000
30,701.219055,0.966216,0.000000,0.002488
31,608.846008,0.950468,0.000001,0.003049
32,999.999695,1.000000,0.000000,0.001000
33,711.435669,0.967064,0.000000,0.002297
34,646.447021,0.956467,0.000001,0.002704
35,620.783936,0.951703,0.000001,0.002908
36,543.720093,0.937451,0.000001,0.003575
37,521.716797,0.931704,0.000001,0.003875
38,999.999695,1.000000,0.000000,0.001000
39,699.562805,0.965393,0.000000,0.002480
40,625.234680,0.953999,0.000001,0.002949
41,501.111420,0.928825,0.000001,0.003885
42,999.999695,1.000000,0.000000,0.001000
43,633.743591,0.955285,0.000001,0.002891
44,574.907410,0.944814,0.000001,0.003382
45,574.462158,0.943145,0.000001,0.003299
46,999.999695,1.000000,0.000000,0.001000
47,582.795349,0.945148,0.000001,0.003159
48,542.884644,0.935943,0.000001,0.003426
49,521.781677,0.932140,0.000001,0.003731
50,506.411285,0.928255,0.000001,0.003823
51,999.999695,1.000000,0.000000,0.001000
52,713.918701,0.967864,0.000000,0.002477
53,563.085144,0.942457,0.000001,0.003496
54,553.010254,0.938509,0.000001,0.003568
55,999.999695,1.000000,0.000000,0.001000
56,660.095459,0.959862,0.000001,0.002751
57,606.645142,0.950419,0.000001,0.003034
58,550.307373,0.939275,0.000001,0.003590
59,999.999695,1.000000,0.000000,0.001000
60,696.376770,0.965617,0.000000,0.002617
61,573.302307,0.943754,0.000001,0.003350
62,562.852783,0.941869,0.000001,0.003397
63,999.999695,1.000000,0.000000,0.001000
64,632.484558,0.954945,0.000001,0.002820
65,999.999695,1.000000,0.000000,0.001000
66,718.238281,0.968317,0.000000,0.002359
67,602.464539,0.950189,0.000001,0.003337
68,999.999695,1.000000,0.000000,0.001000
69,703.090576,0.966842,0.000000,0.002411
70,646.892334,0.957378,0.000001,0.002767
71,625.975830,0.953612,0.000001,0.002969
72,999.999695,1.000000,0.000000,0.001000
73,647.172607,0.957882,0.000001,0.002829
74,624.228516,0.953539,0.000001,0.002939
75,561.197632,0.940947,0.000001,0.003239
76,999.999695,1.000000,0.000000,0.001000
77,732.403015,0.970255,0.000000,0.002287
78,652.251404,0.957922,0.000001,0.002790
79,552.792603,0.938351,0.000001,0.003427
80,532.302368,0.934307,0.000001,0.003612
81,999.999695,1.000000,0.000000,0.001000
82,716.203552,0.967882,0.000000,0.002296
83,588.002319,0.948708,0.000001,0.003505
84,532.484985,0.934262,0.000001,0.003574
85,545.778015,0.936614,0.000001,0.003457
86,999.999695,1.000000,0.000000,0.001000
87,617.275635,0.952820,0.000001,0.002968
88,561.104065,0.940924,0.000001,0.003327
89,595.629272,0.947288,0.000001,0.003089
90,505.315369,0.930308,0.000001,0.004222
91,999.999695,1.000000,0.000000,0.001000
92,683.192444,0.963399,0.000000,0.002544
93,513.552246,0.930119,0.000001,0.003619
94,999.999695,1.000000,0.000000,0.001000
95,646.889526,0.956612,0.000001,0.002705
96,999.999695,1.000000,0.000000,0.001000
97,705.782715,0.966718,0.000000,0.002425
98,636.380737,0.955469,0.000001,0.002935
99,631.487000,0.954100,0.000001,0.002807
100,545.477783,0.935491,0.000001,0.003325
101,999.999695,1.000000,0.000000,0.001000
102,730.101318,0.970051,0.000000,0.002461
103,999.999695,1.000000,0.000000,0.001000
104,775.770325,0.976231,0.000000,0.002045
105,682.633972,0.963316,0.000000,0.002742
106,646.462708,0.955644,0.000001,0.002637
107,602.028564,0.947174,0.000001,0.002907
108,999.999695,1.000000,0.000000,0.001000
109,747.160828,0.972588,0.000000,0.002209
110,610.520508,0.949960,0.000001,0.003046
111,535.289734,0.936202,0.000001,0.003795
112,584.862488,0.943917,0.000001,0.003025
113,523.101746,0.930046,0.000001,0.003396
114,999.999695,1.000000,0.000000,0.001000
115,706.615356,0.965739,0.000000,0.002341
116,644.060791,0.955894,0.000001,0.002792
117,559.486938,0.939516,0.000001,0.003150
118,522.724060,0.931139,0.000001,0.003721
119,999.999695,1.000000,0.000000,0.001000
120,667.695801,0.959419,0.000000,0.002577
121,632.254028,0.954264,0.000001,0.002777
122,558.999329,0.940465,0.000001,0.003539
123,557.249756,0.937982,0.000001,0.003310
124,506.055603,0.926548,0.000001,0.003678
125,999.999695,1.000000,0.000000,0.001000
126,637.926025,0.954861,0.000001,0.002828
127,667.838440,0.959931,0.000000,0.002554
128,578.421387,0.943257,0.000001,0.003127
129,540.158813,0.934827,0.000001,0.003291
130,999.999695,1.000000,0.000000,0.001000
131,624.247742,0.953060,0.000001,0.002762
132,615.773499,0.950658,0.000001,0.002815
133,592.850586,0.945962,0.000001,0.002926
134,999.999695,1.000000,0.000000,0.001000
135,672.733154,0.960348,0.000000,0.002462
136,516.139221,0.930647,0.000001,0.003714
137,555.954163,0.937855,0.000001,0.003229
138,541.600342,0.934393,0.000001,0.003210
139,510.317993,0.927930,0.000001,0.003601
140,999.999695,1.000000,0.000000,0.001000
141,677.662720,0.962081,0.000000,0.002684
142,593.003723,0.945938,0.000001,0.002980
143,999.999695,1.000000,0.000000,0.001000
144,732.801636,0.970295,0.000000,0.002210
145,687.548218,0.963587,0.000000,0.002441
146,603.148010,0.947984,0.000001,0.003065
147,501.685059,0.924929,0.000001,0.003431
148,999.999695,1.000000,0.000000,0.001000
149,608.800720,0.950229,0.000001,0.002867
