rank,alpha,beta,kappa,pos_rmse,pos_final_error,heading_rmse,heading_final_error
1,1.000000,1.0,-1,0.160676,0.123100,0.087081,0.075173
2,1.000000,1.5,-1,0.161292,0.122817,0.083099,0.074380
3,1.000000,2.0,-1,0.161739,0.122584,0.081155,0.073689
4,0.010000,1.0,0,0.163201,0.116625,0.079119,0.083456
5,0.050000,1.5,-1,0.163299,0.119606,0.077895,0.075895
6,0.050000,1.0,-1,0.163334,0.119528,0.077896,0.075665
7,0.050000,2.0,-1,0.163335,0.119538,0.077893,0.075889
8,0.050000,1.0,1,0.163372,0.119635,0.076916,0.075548
9,0.050000,1.0,0,0.163374,0.119671,0.076918,0.075579
10,0.050000,1.5,0,0.163376,0.119604,0.076921,0.075479
